Username,Stars,Time,RawTime,Text,Images
Chen Maya,5,2026-03-19,2 個月前,米飯煮的軟硬適中很好吃，下次要再來嘗試其他品項,https://lh3.googleusercontent.com/grass-cs/ANxoTn1mXY-9nU3oIVPq2vg4rsw6H-B7Y8Y6xjjUyc2uKzkV8kNoYfm8DNey_z6iwXTphgXwn_Jr4q0Q5dIb63ZWcw8NeHVmla4DIVX9zT08ioqEtLomoGFb6_t6DZv-cXy5StDvk_7HX5cdEPDN=w600-h450-p-k-no
朱聖德,5,2026-02-19,3 個月前,好吃的台式拉麵 甜點吃到飽必加,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1wEDG1mw2DLIv8fAnCox6fCPBxWo6pIJTYFg2xNAajalLyoY1rnxMjntRs-Y1OATVig7XL86w0iT9FXgBcKX8kivisliIi_nN31kzYMsDs9c1aFy9pTvhuSMUDvAkEOj5gbPrG8VhdVvM=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0IYOY8THTMMi6wVn0c9RFFzXHNkH1RhHH_TYAXlhYR5ylR03SBK1n-LRn7uuFmzP4tS0h1920q9NT19hHPZdaZHb0E3ZBXv6PwbMX8pmpKDqMAbppECaObOyT3PGI1QFyGNC0p5PUmtHrm=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0asaC_MyXr-gNzxRO5QljvfObYHD-lHzFGHFZMakWxs5O9YVMmXACvH2rwZe6Rv2AuD5Zre18NQnxBwHT1kPXBUNfUa9bQv7vJeesZuLXeCBs2Q1pIlE2Wc2-BrU5yCFF8xe3VNbRjxprA=w300-h225-p-k-no"
Vincent,5,2026-03-19,2 個月前,通化街難得的拉麵店，好吃！,https://lh3.googleusercontent.com/grass-cs/ANxoTn3ImVjchSHMndvyWEj32gXGQgFNx5qFZVVCEn0UQ7yYbdKYI4cHr13F9gxJ9aUzNGXsJwIjh2V58C9ZuVHh-oXqFS__lj9PhNBvdYIv5zJuDue1A79XQ2k2qgkM0NT7p3jaeDiawJpQc6PV=w600-h450-p-k-no
Liang Wei Chen,4,2026-02-19,3 個月前,"拉麵湯底還不錯，叉燒、配料表現就還可以。
豆花加購吃到飽一定要加，很划算！
首次註冊會員可以折$10元",https://lh3.googleusercontent.com/grass-cs/ANxoTn0Z2g-SBxsGirfW36YjJsE2Hi0TwJ1A8Tk0USjrN7r7xkevG7-XRSG6cR5c7_ai_D5-uUJTVnKkbU7vItUywaOz0QGyVjzB8rc5JatuCyanoaXN27T4Cdn9QXLSYnKRewYdWMhxBQK0RFwA=w600-h450-p-k-no
楊書銘,5,2026-02-19,3 個月前,親子友善，麵Q湯頭讚,https://lh3.googleusercontent.com/grass-cs/ANxoTn2mHWvikURpg14wGG4wvpk682pXjYyh2jMwqyEWu3KQbngjKR744jqujdezwc5IPXPUWO1a2IbJUlylc1PKTmTRsQ_UlaGVy5JO3yypyBIfoi5qdZd8Uluhz5aFXPckAqYPlwLkD6lOrC7G=w600-h450-p-k-no
mini,5,2026-02-19,3 個月前,餐點好吃，服務人員很親切👍,https://lh3.googleusercontent.com/grass-cs/ANxoTn1q0w12ZI3QjoWbigwRTM8L6vD8JsAXmp-UyYXdhgCP_iQKBTGp7_XYWOiPM2tPoHji52XbMDBii0NMbfFj7BM1FHRsaq8PyAdcYb0KBX4wZXHlLtjnfy-pqUrghNQFy6VBf8Wywf86FyKV=w600-h450-p-k-no
許淳翔,4,2026-02-19,3 個月前,品質穩定，不定期會有優惠可以再訪,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0-w_mhrOa_dsmwxzTu0bxZtRlfuXaz5jCp5nxMueLkVJNlUlgiOdkjr5LheLAKtlX642q-mTW3Jg8kEZmfoD7jYnDJdhNhaYLIMWc6VezixM_DC2xIjfUrgdR6YHOOgqqC39_6cMkIBJdb=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn038JMl7No4gSIMSPVGLTuHzMeUW3ETvBmzoh5qKyJo4wPg8lth5aFLYTZcx2R_C-pPZbctUJaGl8VT1x0xx3nzOlr8Il5T0Gw65UrzL9T_QKdE_GyPs8LnpmkCSf1tC0fmHSNUDC_OsUjm=w300-h450-p-k-no"
Yizai Seah,3,2026-03-19,上次編輯：2 個月前,就是典型的台式拉麵口味，沒有太大驚喜，但價錢會稍貴。加購30元甜品吃到飽的豆花跟仙草，表現也非常普通。如果想吃豆花、仙草的話，建議把這 30元拿去吃附近的豆花店。,https://lh3.googleusercontent.com/grass-cs/ANxoTn1LgzeAEDjAiZSjgkP4qjscxmltBVDT8PTpimBYU3FzioxF_Jv1ygo5RgZAS7RD7a4MWywaUk3zGezkTJSWHU12bscxtZJsRAbh_6WCfQ-tlRTtfuTTrXIVwzAki05a9VR43_xu46RqdwQ=w600-h450-p-k-no
周怡均,5,2026-02-19,3 個月前,麵Q彈好吃😋溏心蛋是一整顆的,https://lh3.googleusercontent.com/grass-cs/ANxoTn2xls3Qvoql920Dfhlh5ylQgMl5KhNAmecn9gvjX3RMeJ9Miv90MvtntqgWAPbM9hVA3OqmEnrkEtnVE_mYG1T-th7D4QlWFGrW9lNYkbDXgIyK0XHuu3Ra4y5P2a3UfgsJhjYjbtrh9WL1=w600-h450-p-k-no
Tsuki Yuki,5,2026-03-19,2 個月前,服務親切，松露香濃拉麵好吃，甜品吃到飽很讚,https://lh3.googleusercontent.com/grass-cs/ANxoTn25gLPpR6SCtP9aVXIkAJGLFhSBrzpngZNIA7N83dMeiweM2fIux3Q7Fa1s_KJYN5JgppyiSrxoPWsOwzNaaWQDFV4SqtIdCLEzke0ylIpPI5ZT2Q_wgjpO1_cVVASUm9yG8SD7qlX__xvW=w600-h450-p-k-no
Harry,5,2026-02-19,3 個月前,還有二樓舒適寬敞 推,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2obyT9xDDMOsutgcOhxJjqZJ5w9PrWiSWwiF6fLSufUhk31slKTHugCh63kx4SMZBU3zpGNgysBOb4SrNBu7XoriIRUaJ6_GIuc-ZR8M14xvy2klBo0kFzQ3NFzfgBCG_2UbvFY7jpEg=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Yt_99somaKDreHnq1NkTVkHV4-FbcYw9hzJQckNgudxziqP4_tkpPrpJU9A79G28Sx4Jj60ZzMQ1Qe4fD2goBMWI91yunlBSC--xrAOlssQdLzyVy-vL3e1Z4TRUoBv27esxnCat7SB7v=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0LGRJOgx3LLMwBgiOcBo7rzhye5AyAqpUr90sk-p30elUbhcSy-bl__iDzgVhQ7cii_Q-j7WchSzqXd94tcsOiBz3rTG0z56foSb1ioR4bfUFCBW60Qxq4G1LAJVVdG3Eu0frYxJM3XTN9=w300-h225-p-k-no"
Kate Lin,5,2026-03-19,2 個月前,環境跟餐點都比預期的好，服務也很親切，有機會會再來的,
潘怡琪,5,2026-02-19,3 個月前,"《好呷拉麵》
通化街新開了一間拉麵店收到老闆誠意發送的傳單，今天特別去吃吃看，不僅《麵Q肉嫩湯純》，而且環境清潔舒適⋯記得有二樓喔，還有友善的兒童座椅，重點是服務人員也好親切喔，大家一定要去吃吃看，先說好我只是素人喔！",https://lh3.googleusercontent.com/grass-cs/ANxoTn01X9uvxDsytf_e5azCnd7B0hUDJuQVgxhmYYMf5mWrW6j_BVzpWDKjdTsg0tRvkXHUdGYKDybgYiEw7hI6c2ahxzii932bc7oZmPYIrqksjGWPHx752bia5vcYkqbTyjyHa3VKo3Yr6J0=w600-h450-p-k-no
育宣陳,5,2026-03-19,2 個月前,店員親切💗～餐點好吃！！！！,https://lh3.googleusercontent.com/grass-cs/ANxoTn0BGW5utsXRSJ4k7vs39uZzbQK1vSVC3c3-nnbJu9LFuBGuh5TDSzKPzRCJiung1klNB6ZedRwQR1SJw0mvGFPlRcNLQWH3jOsKBkVaxv9Dhu3iLV-Fgefx32V3N6Ksd9j-oz_t_06F9pH0=w600-h450-p-k-no
Annie,5,2026-02-19,3 個月前,"透過街上發的傳單至店用餐，
點了拉麵及咖哩都十分好吃，甜點豆花及其配料都很有水準!",
マコト,5,2026-02-19,3 個月前,"來嚐鮮好呷拉麵的新品牌「燒咖喱」
說實話 我覺得它的咖喱做得比拉麵出色耶XD
醬汁有股特殊的香氣 辣中帶一點甜
黑金唐揚雞是用墨魚粉做的 蠻多汁 不錯吃！
這碗也真的有燒 吃很久還是熱的 很在意熱食夠不夠熱的我很滿意
要說美中不足就是飯量有點太少
拉麵可以續一球麵 飯如果也可以續飯就好了
下次還想來吃吃看其他咖喱品項！",https://lh3.googleusercontent.com/grass-cs/ANxoTn3rTtD6-3aGGzxnUall8oq8Sj5-fuDel6AyqgaRCHV_-kBkDsAE_8GPlPhNdISlTeCl2vNP7PS0Wxj7RWQJu_PDPpeLaMbP5M6A8zTx94KfGV1uzzarRJZKJBtYp_SwxEhdbO7dCVyWsOmH=w600-h450-p-k-no
陳品豪,4,2026-02-19,3 個月前,不錯吃！地獄豚骨的辣！我個人比較不喜歡辣油類的（個人喜好）！肉片稍薄！入口前可折2折或3折一口吃！口感更好👍甜點紅豆及豆花仙草凍都好吃🤤！免費加麵對我來說剛好飽足感十足👍讚喔！,
張家瑜,3,2026-02-19,3 個月前,"咖哩味道很像人從眾牛排自助吧的咖哩，但這邊偏水，偏辣
但人員服務佳
我覺得咖哩普通，還沒吃過拉麵，價錢中規中矩",
