Username,Stars,Time,RawTime,Text,Images
黃京淇,4,2020-05-19,6 年前,紅茶很好喝，推薦新增奶綠品項。,
張芷榕,3,2019-05-19,7 年前,春芽冷露跟其他家比起來淡了一些,
謝宇馨,2,2022-05-19,4 年前,紅寶歐酪 不好喝 點無糖像全糖,
Tommy,1,2023-05-19,3 年前,微糖少冰也能點成無糖微冰>_<,
周亮瑜,5,2021-05-19,5 年前,黃玉歐蕾好喝👍店員人超好！！ …,
林昱任,5,2020-05-19,6 年前,熟成紅茶澀味較低，是推薦品項！,
Eddie HSU,5,2021-05-19,5 年前,"熟成/灌頂
醍醐灌頂知識充滿，腦袋都裝可不可。",
Yuan,5,2022-05-19,4 年前,還不錯喝，但做有點慢,
劉元亨,1,2024-05-19,2 年前,才剛剛開始營業而已 店裡電話都不通,
顏嘉威,1,2020-05-19,6 年前,4.11早班收銀 服務態度很差 找錢用丟的,
Chen Gavin,5,2025-05-19,1 年前,男店員長得很帥,
Daphne,5,2021-05-19,5 年前,冷露歐蕾推推 真的好好喝🥰 …,
David Chen,5,2023-05-19,3 年前,推薦胭脂紅茶，真是太好喝了,
狠強,5,2024-05-19,2 年前,給錢用丟的 服務真差,
Po-Hui Wu,5,2022-05-19,4 年前,唯一支持白玉歐蕾,https://lh3.googleusercontent.com/grass-cs/ANxoTn3YJI9OA6s2lbBctWqTpJRiVE0j6Eax6oC6S4_kimb8fS6KXiRoakDgqXeSlEWpyg7mXTD7fWKh0RRQ0YUDJIx-VZm5aIjjdBFj5ML3xEh8rEx7kIDzNlVz0Rhn_qtF8IN-W0w=w600-h450-p-k-no
本庭,5,2023-05-19,3 年前,店員態度很客氣，服務超好👍,
Wilson Lin,1,2023-05-19,3 年前,熟成檸果超淡，$65不值得,
laura lee,5,2020-05-19,6 年前,茶很好喝，店員很可愛,
God神,5,2021-05-19,5 年前,好喝好喝 服務態度佳 一切完美,
Joan Liang,5,2019-05-19,7 年前,好喝推推 👍🏻👍🏻👍🏻 店員親切漂亮！ …,
Chi,5,2021-05-19,5 年前,白玉歐蕾讚讚(˶‾᷄ ⁻̫ ‾᷅˵),
Jimmy Chiu,5,2021-05-19,5 年前,飲料好喝店員人很好👍👍 …,
Aoop 8787,1,2024-05-19,2 年前,員工態度讓人不友善,
陳竺萱,5,2019-05-19,7 年前,服務親切，又好喝～～～😍😍😍 …,
葉明修,5,2019-05-19,7 年前,好喝！ 而且員工很正,
Jasmine CHIAN,1,2023-05-19,3 年前,有一股很奇怪的味道⋯⋯廁所味,
黃梓嘉（梓龍聖嘉）,5,2022-05-19,4 年前,半路lp要喝茶...緣分吧,
Hsin,5,2025-10-19,上次編輯：7 個月前,店員👍👍nice的服務 …,
Kiu-Tshiong Ng,5,2021-05-19,5 年前,店員們人太nice了～,
lin lai,2,2024-05-19,2 年前,店員態度超差,
WESTER W,5,2020-05-19,6 年前,熟成紅茶、麗春紅茶、太妃紅茶、熟成歐蕾必喝！😍 …,
白毛,5,2019-05-19,7 年前,好茶葉果然不一樣,
Arvin 0126,4,2025-05-19,1 年前,不用排隊很爽,
Kira,2,2022-05-19,4 年前,胭脂紅茶變淡了……失望,
WU RUBY,1,2023-05-19,3 年前,熟成檸檬 完全沒有茶味,
放縱,5,2025-05-19,1 年前,店長很漂亮,
Che-Ming Liu (Lao Liu),5,2020-05-19,6 年前,依舊好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn1XtG2gcGuMu2lwq1g_2k-wEqQxsQ35ylDz5_QmuMPTu3MslkcuC3m1ubqPXsbwjtLZtbQNI-8ylS3gpxKawM1HBDPeiEtXrUkUkfLmcWEHb3gzZKUE8SC9fAVzkjSzKpOcdBVt=w600-h450-p-k-no
陳家弘,5,2024-05-19,2 年前,這裡的老闆娘超美的,
張致杰,5,2024-05-19,2 年前,開很晚 很讚,
M,3,2020-05-19,6 年前,茶味很淡怎麼辦,
Jason Lin,5,2019-05-19,7 年前,老闆人好 待人親切,
Mark Cheng,5,2021-05-19,5 年前,紅茶真好喝～,
楊紹民,5,2021-05-19,5 年前,招牌紅茶好喝👍 …,
Alexis,4,2023-05-19,3 年前,珍奶很讚,
WH C,5,2023-05-19,3 年前,熟成紅茶好喝,
王民瑋,4,2025-05-19,1 年前,ㄐ就連鎖,
明珠鍾,5,2024-05-19,2 年前,服務快速，專業,
Fedor TV,4,2020-05-19,6 年前,純吃茶，純喝茶🍵 …,
許瑄,1,2022-05-19,4 年前,漏單,
李承庭,5,2020-05-19,6 年前,店員很可愛,
Jack Liang,5,2021-05-19,5 年前,小伍服務周到,
娜娜子,1,2021-05-19,5 年前,服務態度很差,
Dragger Kung,5,2021-05-19,5 年前,可不可 品質穩定,
Zai,5,2020-05-19,6 年前,老闆很帥👍 …,
nill cheng,5,2023-05-19,3 年前,不錯,
陳素月,5,2020-05-19,6 年前,讚,
張小瑄,5,2024-05-19,2 年前,飲品好喝!!!!!!!!!!!!!!,
Mnc,1,2026-05-18,1 天前,這裡的胭脂紅超級難喝，比其他分店都很難喝，不知道是沒按準程序還怎樣，味道很奇怪！每天兩杯胭脂紅的我路過～,
Y yan,3,2026-04-28,3 週前,我點了春檸綠加白玉結果喝起來是烏龍茶加白玉⋯🥲 …,
