Username,Stars,Time,RawTime,Text,Images
Rima Huang,5,2022-05-19,4 年前,服務很好👍🏼 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1dPHW4MnlRXwMx00b4_MND3GIT6DXwd0INHB60L-MFoZ3pYUxyx1Hx-uIzKEeVs1PhBwy94-6sMwlQvPh83z0pSqRjW7DhcWFXkwmu0h77slevIDbNuPGdWnDkJGROSu0OZU_f=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0OlUNrXqrZ0DnYFWVD0PMvPjEUqLB7mQVB1vCAWvg7IQLsXZanBxdpEyKq32Z_N8163ahyrFVu2xyXsIyVV5WcQZ0UBuc0aOMvXq_5Lr29YFdxY1LE_tOmRqtDC56eAndmK5uN=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3gIdTnjmGhEE8Spl-W_BJkrzfASwrcQDb2lOYytajgqRERbSyp3SYutZvrZcNJ7UKo0m0qmYkvPxFt6C1TGI08D7B9VY5RcZAqVSmBELq-5JYvWXyxvRHaYYwBaXVhbIhH7uM=w300-h225-p-k-no"
Dylan Chen,1,2023-05-19,3 年前,今天的男店員一臉不耐煩，態度不是很好,
Tiffany Su,5,2021-05-19,5 年前,服務好，態度親切，乾淨衛生！好喝👍 …,
陳諾亞,5,2021-05-19,5 年前,"大推藍莓醋夏天消暑解渴
常常購買
店員細心又貼心",
邱振盛,3,2024-05-19,2 年前,店內臭臭的，在櫃檯點餐就聞得到。。。,
Samuel Huang,1,2022-05-19,4 年前,"中長捲髮男性
可以再沒效率一點",
翔,5,2023-05-19,3 年前,仙草凍奶茶跟多多綠+多多好喝！,
廖小天,5,2021-05-19,5 年前,環境整潔，服務態度佳，一定回購！,
瑞森蔡,5,2021-05-19,5 年前,店很新 服務也很好 不錯喔~,
周銘仁,5,2021-05-19,5 年前,服務很好喔，親切客氣有效率。,
Jenny wu,5,2022-05-19,4 年前,服務態度好，飲料品質穩定,
Julia Wang,5,2025-05-19,1 年前,多多綠茶好喝,
Ash,5,2023-05-19,3 年前,點餐流程順暢，飲料製作快速。,
ke y,5,2024-05-19,2 年前,老闆很親切．服務真好,
你身體挺結實的嘛,5,2023-05-19,3 年前,晚班櫃檯服務人員態度良好,
王珊珊,1,2024-05-19,2 年前,一杯飲料等的有夠久,
藍涵愉,5,2024-05-19,2 年前,老闆人很好！！！,
Fion Chang,5,2023-05-19,3 年前,飲料很好喝 茶味香濃,
Anson Hung,5,2021-05-19,5 年前,還是清心好喝啊！,
謝宗勳,5,2024-05-19,2 年前,服務讚讚,https://lh3.googleusercontent.com/grass-cs/ANxoTn1Q-ZQEnh4HN0Tf8OqKYmgblSxi5iLo47PDJl50SjQZhJ3nbZ1LLkGDKPDcURN2WmstpNX3oj6FNW_w00Kk95wX66P8flnGC3tVfdoE53LySBDakOK8rlWLRM8IwFtlA1P8Uv9iSQ=w600-h450-p-k-no
傅仕倫,5,2021-05-19,5 年前,"清潔的環境
到位的飲品",
-楊雅筑,5,2024-05-19,2 年前,老板態度超好👍 …,
廖凡靚,5,2024-05-19,2 年前,蜂蜜普洱讚讚👍🏻 …,
涂采濡,5,2021-05-19,5 年前,回甘就像現泡,
李提那,5,2021-05-19,5 年前,蜂蜜綠茶最解渴了😃 …,
劉守,5,2022-05-19,4 年前,服務親切，速度快,
周芳如,5,2021-05-19,5 年前,老闆服務很好,
Kiwi Hiền,5,2025-05-19,1 年前,飲料好喝🥤 …,
成助賣屁股專門的店顏成助力,2,2024-05-19,2 年前,衛生待加強。,
芝芝,1,2023-05-19,3 年前,飲料都缺貨？？？？,
林航,1,2025-05-19,1 年前,動作真慢,
張傑克,5,2021-05-19,5 年前,服務好！！,
uly Y,5,2021-05-19,5 年前,工作人員親切,
啊逗比,3,2023-05-19,3 年前,飲料店,
Li Irene,1,2026-04-19,1 個月前,"店員態度冷淡
飲料也很淡…

下次還是去別間",
昌主全,5,2021-05-19,5 年前,服務好,
Genny Kellogg,5,2025-12-19,5 個月前,這家是我在師大附近最喜歡的茶飲店之一，珍珠和果凍給得很多，荔枝茶也超讚。,
