Username,Stars,Time,RawTime,Text,Images
Shang Yang,1,2025-07-19,10 個月前,"之前買過一次優格系列覺得還不錯，今天想喝點清爽又可以咀嚼的飲料，點了蘋果蘆薈，本來以為他們家都是用真的水果，結果第一口喝下去發現居然是美粒果，整個傻眼

而且我還特地跟店員詢問適不適合無糖，店員說飲料本身帶有一點酸味，但蘆薈有甜味，所以還可以，結果點了無糖還是超甜，因為美粒果本身就超甜啊！！！

就是不想喝太甜的飲料，才買比較貴的手搖飲，如果早知道是美粒果，我去超商買不就好了嗎，生氣耶！😡😡😡",https://lh3.googleusercontent.com/grass-cs/ANxoTn030vdDtTtUQevTFFP7rtn6XINyIniEqGK6N3nVaIr6ekSa0q1T2wMw10__Yr_2epalE_ucH5_72aW085pHdPMQgOyMbRJIF6BeCPQfDLwL2oQxWOYWZXR6ReCt28zRFow8RDGdNRA_o7-Z=w600-h450-p-k-no
Lin,1,2026-02-19,3 個月前,倒到杯子裡才發現沒有滿杯，又整杯倒回去攪拌機裡加冰塊重打，抽到泰奶口味，喝起來完全沒有泰奶味，還變的很水，不知道在喝什麼…,
Oriane Chen,5,2025-05-19,1 年前,"📌 奇K巧克力優格 M$95
每一口都有kit kat 碎 無糖的口感濃郁不會酸😍
好喝！
.
📌奇K巧克力牛奶冰沙 M$80
不是我的菜
不知道跟無糖的有沒有關係 整體有點稀
但可可碎片還是很多👌🏾","https://lh3.googleusercontent.com/grass-cs/ANxoTn3blvdeFlwdCSEJ1pV4Lx0Y0CyxazVjAzCDiHXlG5UTlqSpFnUIFBBPps-HMTt0D0Jo3gKvcaeC826Ybzeyus5BkVdowbJUzUgm7rosyYQ8CWf9qY3zI4CvANMrwfJzZEdqIRJD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3iPisCQyr28QFa-btZqjGqRu_k6J3NVqrgRZumKHyEOHz6AIrf4W0DeyvI5t504_GVq3RQLSQeXQoTJDDVEto5-uLhQlbIABQi5SAGsLw7gWVflNLSNMbe7Y9kl7r9HyeGCkqVog=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1kw6A6uYSpyavwWQ4t39Kxd0EzrCNkw2XDawCN9Aa9B277u29W_HRcE_Pu5h5lwEUZGvsq7qmnbUBC_i5jIVmTTMwkYfGYEfbA83kwwWjfD-z8sYfaG42pgA9Efai77ZEKAK_9=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Kn3HKvYFx7Tt5r3TbycGpNEu4VdksHLZ_9SN_A-66gg8UbS3iVCRwrJkFwA0LNxn__W-_FMo8qs9MEeYFOBIuAs1OdA6TsfG4tFY4IOkiTDFjgpC6WgQZ-s-vsT59bDt0v8Kf=w300-h225-p-k-no"
Chuer,5,2025-05-19,1 年前,"喝過不少次了，非常喜歡優格系列，我個人喜歡全無糖飲品，伯爵茶優格可以做無糖，其他水果優格本身在調製時就有加入少許糖。優格百喝不膩。主要也是因為很特別及少見。

我雖然沒買過周邊，但品牌形象很可愛和溫馨。 有經過會在繼續光顧。今日點餐時店員都好親切，很喜歡這樣的氛圍。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0izLj-84Lh-Ob6AvThpqOi6gSyqru4NKXsCX9-gq0HfZHNejGgYQdJT6CCq_OMFv8Wwiw0FncgopN3jKQbIZryus60jTPyweOwfbjTLbruaapiVSAmlKtPCL42vy2zLiGSjunJ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0CWaCtDReB_Z_4NhxyK2VWYpMM1IjwJRziMDl2vJtj-0GN5bxsZ-NgnNn20JjbMCPklyt4MJzBU1iLl-hLN82fUU0FlvHc1roURAey6XrOx8VHpkOsK3rVkdowfLdw-n6QtDC5=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2O71Ds_9e6ttleT_0H8gnN3MMr9pxnjiEZvGmF2Wx4KPvqrqS5ChcE2pP3QgalAtpdUOXFaUtJJUxfPipq_arDV4XGY2ZsbUHjtLalo7PC8i8OfJPet2Q2wXWjoKLHomYXVGyh=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ytIFxiY2KqNlj72BJB6dvdeC2XiuofRcquiZ5KqQlNRhgGSnniVhn9cekXY0tB278ajheUErcGvwGQv-Fa6I6C-Eeq5O9fKzj4dfecRtkY6hX4CWU-kVyRjL_U1e8WhtuYYD3=w300-h225-p-k-no"
Lèvr【第10級在地嚮導】,5,2025-05-19,1 年前,"真材實料的飲料，發發超讚👍👍 燕麥穀粒鮮奶茶吃得到滿滿的大燕麥粒，無糖甜度剛剛好。優格系列也是招牌必點，這次嘗試焦糖海鹽優格很好喝，鹹鹹甜甜酸酸的口味相當順口。
店員服務不錯，耐心介紹飲品，出餐速度也算快。","https://lh3.googleusercontent.com/grass-cs/ANxoTn3jZEIluJW19AMyp_o3YmGoMTs7g1VO9rm1x1ZYZFMUgp2YFgUmtkzMlczmYQzUAPBlzw0YE-fRI4LhMdDXYSFBBIfk3-4EzClNOo--tBjm_PH11U4PsvR2Jtg4L4j_-iLGI00ytA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0ukPisNvVMdPUmFHYcaMdyfpLMqJs4Ka1701lgRUZNieaYRAOsMsgdNFTBkhp4jzE31l4YcfLFRszwZeqK3iT2lGIF-OyDmwl_zc3-bVZYs67Tmnk12sTVKcl-ULm-iF4pxUo=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3NrWU6JKad0fQoRt5J5x4B6pODw8pKUWjIWh3KA4nZqrfuIq4t3DyE3TTouEgtWCPbwrEZFWhWLyEDnGKuYKRjcocGcBsiV6cOJNq-uTzODk8qlTX1yEWiLceyUbyMJCqSU-Th=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0lvKB7TLcAZL80Gq87APkxlkviWmSLyks-dAOYMxH2x9gGbQtQg1oEqZ8BFQR7b7J6QcWekhfYUqWtnJNwmaYEPJdI6wXJRqL3WqMKeC8swAlum_svx-GjJ_nT5lbIZw1JzsMe=w300-h225-p-k-no"
miller miller,5,2025-10-19,7 個月前,"雖然賣完了🥺
但突然獲得最後一杯紅茶😳
謝謝店員拯救我渴爆的嘴😣
下次再來買別的喝🤗",https://lh3.googleusercontent.com/grass-cs/ANxoTn0Cu5CUZmI5Z7A9L08v-HZOompAT6565d1vTTcw-TJhvCnz8gy_ewK4_LGlWw6z2OezCC0dNcSzPdiUTd53lh-FmdYmc7XUkcW2LNbJHo7YT1bV2LLn_dKi7j0mG-4geYqCjqZ2LMmhtXMZ=w600-h450-p-k-no
Lava Li,1,2026-02-19,3 個月前,買之前看評論說鮮奶茶很水，不過是一年前的評論店家也都有回覆。結果今天下單喝看看果然很水，味道很淡，一年了沒有改進阿 XD,
Dolly Chan,4,2025-05-19,1 年前,"【賣優格飲品的奇異鳥】

來到台北第二間的茶飲店是以吉祥物奇異鳥「發發」作為品牌形象。發發牧場 The Far Far Farm 主打優格飲品。
分店不算很多，剛好在公館遇上當然要試試喝吧。
簡約的裝修以白色為主再配以木質色系，在街道上顯得更鮮明。
店內還設有企或者坐的打卡位 (,,・ω・,,)

🥤粉紅柚柚優格 (TWD 95/M)
杯子現在是發發 x 蜷尾家的聯名包裝，很可愛耶。
這款的甜冰都是固定。店家將優格加冰塊打成冰沙，很適合夏天喝。清爽而不甜膩，再加上三款柚肉，酸酸甜甜的很不錯。

另外發發牧場也有推出奇異鳥周邊產品的喔✨","https://lh3.googleusercontent.com/grass-cs/ANxoTn2_5aM9kR6VDwhp1mQtg6GPhXLA0uT0g-MT_Wo4S-XkLZZzsApVyFKgQaEPYfTCVz6Hrkbo9vnQzUxxLdQFyAlUPkaJNwcYNBny94Us1inc_LvpWDassmhYPxfRGveUOcDiK9k=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1DRqpgv7_PocJSaPwhEqsbHNV5hGr2a3BzkVLkYSf-v9CILAoAId2XIlX2uWszhuTSK75GM_CTtedcvHKdPnzKN95k1Cdjte5mpqcdfyaFO1iBni5sXVvgGxycENGcxREBvRCS9g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Lac7yT0OBkyStj-ihT5Hqn6eBI6lFNJ6GFgdqBlDkxUtySOslkgm6dFVO11Jal3SBh0qMpUXwpd_g7o1bCs2GSVfPf3Rbwyxx5OshOPUV2kxwiNro9r33bkKw0NmSfRjlNSJ2=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3K8XX0EYGqJlIUe-1Iie8gaywNMUYITvQEBk4YkH9aEo__J7sFTZ6XfKUXLNV82Ijsyior8jGHO3ZSISXxld7IjRmyXhDtX7KnH0ooj5d33lUYTrUi5FgumTJHkM_h2kEE69v8=w300-h225-p-k-no"
Linda Chiao,5,2025-05-19,1 年前,本來想點優格，小姐姐細心提醒那是冰沙。馬上改喝優優。紅柚嚼嚼優優去冰一分甜：裡面喝得到柚子果肉蘆薈跟蒟蒻。雖然是很稀釋很稀釋的優酪乳，但是味道調的蠻好。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn06fIQvTX_3yeASEGP86SxJChZ2Skrjorc5kqpBEjsA9pfXulUYe_uFbs8Wp19gOLItaJCHkKHkoddpsR7THPM7VaUG4RcVDZfpLVvUa41xYP-iq6wJUDpH2bTanpj9knKs0-M=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3jrOj1Y8nC0U578fuMjT5T2INZNh1nEmOtgaGmhn_1nVmvqj-IMNai3hHht5iZMcylEKWlG_hK-QsOMWm-tferEAPBZxxgKIgaMH4BtLPgPYD3Nr38h1ANBy2FwMuFQJrGtzzzAg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Z1TbSjHUYa4THNwsLJe4ddQ0jIGxfV5kHeyu_k6X_2r_-gijndqx7tfLDYjf3DJIA1wYgUwQRn5PazQvHTlvGNF3zVjKrAljc5T6N1OxS30k4nbas_Z0aDnyR3A0GNLEuJXp2=w300-h225-p-k-no"
MAIまい,5,2025-05-19,1 年前,"草莓季特地來喝發發~現在兩杯草莓發發有打折
點了一杯草莓牛奶和一杯草莓優格~
不但好喝裡面有草莓果肉和透明珍珠，但這樣平均一杯只要65元超划算

店員會把現做的果汁和飲品倒完杯後，多的倒入小杯放在台前給客人試喝（通常都能喝到前幾位客人點的飲品，我自己覺得這個行銷策略超棒

奇異鳥也有草莓色的太可愛了","https://lh3.googleusercontent.com/grass-cs/ANxoTn0BOSNoy6IXUHfZZpwgnAjvkOmUnhLz6ktGoM_z455xYLKcbzwUskTtWUrZTvK8OTJ6ZwJ-aHijZW415re8NBONiDWZ0tNtwk2qOJzAptaHf-yc5PNlWEjbxc7HDY6eoIIYp4s=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3qmyVCVdx0yN-TnPU6DallKstuMNe4Tkdg-c91x-nXXSiZta60UMAxNs98wW6RKbys1wTesu5-ifwufTVAXN8kmNyiILOTKAtPE4dzjMBQlnnvppfF89DTIjpW3QwepUUpvstHlg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn08h2fC_dOM1udyFoboNtpRl8NmMzHMozk-DLbwCNyyt_-PcSIPeUg1rhYJ75ueJdLykX9J-9aUaxhlKbgtNiIRwWycny3wWYnDKYAHvefTQdEwYUvjcZkiKFiavCD-mS_rvX4=w300-h225-p-k-no"
