」』』」」



ㄍUsername,Stars,Time,RawTime,Text,Images
張宥翔,5,2025-05-19,1 年前,南瓜派派奶蓋！！好喝！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2R2hE3OOPjdHWZcMDsGVRNlvHsmXR9a8m2LpM4ArOrmEyv8OE8aBJdk2dvivMDQei_ytprGgTCkLV2QCAOo-yd9st-tO0ryLElLdM5Jy-kD8szUIdWnvFbet3rAi-TtMSelaXZ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3PRSJR0-NOVBXc5oI50dikpaUy8J6fKmgcY7v9em48hfT6afwt5pXRovOjfxbmNRWWDzQONfgf9L1JVkem_NIbfT2xVn0xdkPfkj3YmNHGxtqj_lPpl7q9c3CHkzoBaApHWIDw=w300-h450-p-k-no"
Finn Yang,5,2025-05-19,1 年前,店員很可愛，貓咪很可愛,https://lh3.googleusercontent.com/grass-cs/ANxoTn2c-jxVwWp56mOWVJsFfl-9IaGfgHLM3VaYAF_eoQTW_rc4YZKjh_-pXguzo93xiu5y2vLedm4qmZkJe3kZ0OG6vOC6d9z96vSPsMOkAyuI9MCPZ8AcWfC-WURNEDXMKEzLjDT9=w600-h450-p-k-no
小河LR,4,2025-05-19,上次編輯：1 年前,"南瓜奶蓋不錯
但是沒什麼人卻要等超級久
店員很不熟練動作很慢",
Hua Chen,5,2025-05-19,1 年前,可可奶蓋伯爵拿鐵跟太妃糖紅茶好好喝！,https://lh3.googleusercontent.com/grass-cs/ANxoTn0XeZgFRlJEq59fsxhPzGkuSpNNryAEOIicnNflacKMductc93VBR8rzj_Qw2ONf1CAIwndVMkaNRcYvQZbsj6rHjNx5LaAgPT00v7Azflt1yJlhCxM3EpzkMkcQrkCi8bpB-sD=w600-h450-p-k-no
楊才誼（Danny）,5,2025-05-19,1 年前,"喜歡無咖啡因系列
可以選一分糖
喝起來很清爽",
Jefft,2,2025-05-19,1 年前,"抱歉我真的覺得不好喝
ubereat點了四杯都沒喝完就倒掉了",
許嘉祐,5,2025-05-19,1 年前,鹹起司奶蓋滿推薦的，鹹鹹甜甜的，跟無糖的綠茶搭配好喝,
劉蕙萱,5,2025-05-19,1 年前,姐姐很親切 店很可愛 一直想來 今天終於來了！！！,
Cloe,5,2025-06-19,11 個月前,人員親切。飲料好喝。可以來買。推推,
劉小雨,5,2025-05-19,1 年前,"店員服務很有耐心，有關飲料問題都會依依解答😍
整體體驗很好！",
王品涵Ann,5,2025-05-19,1 年前,很好喝！奶蓋很讚😻珍珠有嚼勁～,
Ting Hsien Wu,1,2025-05-19,1 年前,奶茶很水，幾乎沒味道，珍珠很難吃,
陳紘逸（Buka）,5,2025-05-19,1 年前,店員做飲料感覺很認真，奶蓋也不錯吃👍,
蔡瓊瑤,5,2025-05-19,1 年前,老板娘很親切，奶蓋甜甜鹹鹹很順口❤️,
郝療玉（郝享稅）,5,2025-05-19,1 年前,店員很有氣質 ，一進店內就看到 滿滿奶蓋,
kamphfa,5,2025-05-19,1 年前,環境漂亮，飲料好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn3NmCQb3XlHINMK7PtWMovK9S3LnUjuc8ssR_VLXmXNv1uLvd9yO0xFS4ZQ4EaGz0ObL3tNkyc9zdl477y15KPSPhO697pztq0Zp5cLOC4Gpicc3oYR5fehTpRVPBB9XDsGV-Pq=w600-h450-p-k-no
阿翔,5,2025-05-19,1 年前,"超多種口味的奶蓋！
萬聖節記得去喝南瓜口味🎃",
林彥秀,5,2025-05-19,1 年前,入店就有香香甜甜的味道，而且店員超溫柔ㄉ🥺🥺,
徐昕晨Chelsea,5,2025-05-19,1 年前,看到宣傳影片來買的，奶蓋真的很好吃耶,
陳小雨,1,2025-05-19,1 年前,"店員很小氣
不太願意給點數
價格蠻高的⋯
Cp值⋯⋯⋯",
渡紅綾,5,2025-05-19,1 年前,店員很可愛，推薦的飲料也很棒,
辰圜,5,2025-05-19,1 年前,朋友推薦的店！南瓜奶蓋看起來很特別,https://lh3.googleusercontent.com/grass-cs/ANxoTn1bhwqWisymvPcBP4uRtKHPwM8nEp5B2EtZhW2siweRyvoC2G31DxFPnz9lijS6RCBhHTEnCBHH2w8FqPG6kSE1aDEwNJ-ruR7L_uZGZhYIzPJZOGFSc5tAJc4PFCq9f7Bb4Gmnwg=w600-h450-p-k-no
廖浩翔,5,2025-05-19,1 年前,伯爵紅茶加鮮奶半糖，茶不澀，讚讚👍,
Victoria,5,2025-05-19,1 年前,超好喝！下雨天來一杯剛剛好,
Winnie Hsu,5,2025-05-19,1 年前,"自由配很棒～ logo 可愛
來喝喝看奶蓋",
曾湘庭,5,2025-05-19,1 年前,可愛的飲料店😍品項特別,https://lh3.googleusercontent.com/grass-cs/ANxoTn1dfBaJYN0slOi30_pXpx7mQWI8Q6sRmoAjnh344EMoFE7pFyrnbXcryd4EQ-aK_DiYl92Unjba5Zw5OUocrolYPsEIHE7jKmI-pm6PxQ5F5REZz_V7-kJcuha2W9yzONnJmgy8=w600-h450-p-k-no
fan Joey,5,2025-05-19,1 年前,"抹茶柚子+珍珠大推💚💚
老闆娘超美～🙂‍↕️","https://lh3.googleusercontent.com/grass-cs/ANxoTn0kEJvZJ0n2MSjnE-8ghiqWBHEPp5WUigdIWOXK_qtDBh3M20rmsR1IVH8ZyyqLkZh4tWn1esqQOJAYcAT3zUxyvzFZ6sD75sexSHGNJ8_U3R2lR94Qtr0Anj2qve6Ai5zDwgUE=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1kYDjDbgS3W1Dxs2g1E1MzEq30eXSG-2EZNu_DtDTpGNUOqO2RL9fyw9DlyCEbRuXp2Oc_TQsSSf2zdBsxjI4cfOgEB88PVNVWIM29VbZK8SWRznazcGzRSz2VVFebwVLSAdSnBw=w300-h450-p-k-no"
Elea,5,2025-05-19,1 年前,奶蓋真的很濃郁好喝🥰😍,
宋洺頡,5,2026-03-19,2 個月前,凌晨飲料店,
Joyce Joyce,3,2025-05-19,1 年前,奶蓋給好少 喝第二口就喝到茶了,
Fairy Lin,5,2025-05-19,1 年前,店員親切，服務良好，飲料好喝，環境舒適。,
Li-Yen Tai,5,2025-05-19,1 年前,飲料非常好喝！老闆娘人非常非常好！,
黃盈涵,5,2025-05-19,1 年前,飲品好喝，老闆很可愛！,
Ming C.,5,2025-05-19,1 年前,莓果奶蓋超好喝，喜歡,
許晉嘉,5,2025-05-19,1 年前,可可奶蓋伯爵拿鐵好喝,
Hiroshi Ciou,5,2025-05-19,1 年前,太妃糖拿鐵好喝！,
江知窈,5,2025-05-19,1 年前,起司奶蓋超好喝！,
黃千益,5,2025-05-19,1 年前,很可愛的店💗,https://lh3.googleusercontent.com/grass-cs/ANxoTn2pVvZnhPplwtHDgBt1HxllpXzJfTS7ervkKbt2oWk_mv3Z8qObTA7wWo_2OrXxH7mNOdB6FRh07vevJAh7T0_UatjHQlCaitF1Npj9GD9q1Mut5aWDvKsrLKEOno-W4nx3iZyUSA=w600-h450-p-k-no
Stephanie,5,2025-05-19,1 年前,真材實料又很好拍照👍,
Henry Wang,5,2025-05-19,1 年前,推薦要加寒天晶球,https://lh3.googleusercontent.com/grass-cs/ANxoTn1tnecTJKn_G6TRGbK1lM9wpSWTyDJMcuBHcJPKEPRiL01eBPdzc-eLQlpeCsRdk0n0DbHObt54u_jgGW2VItoFkkP9XPQO5UstK4quvKsidUF3aOpDnx3CSgqG-BCF6t0exyHz=w600-h450-p-k-no
翁育璿,5,2025-05-19,1 年前,"飲料好喝
推推😊",https://lh3.googleusercontent.com/grass-cs/ANxoTn3efzo09o6ikCe8wzrZvKDVdtGb2Yjpc5dTnC1vqIxQ0PXPmD_-CjL1tgxeK0mhqWpm8cSIF8Cf1ZW-TmoRy7vx8CBfgXqyg7F4TTvragXNZwTq-cbmOpNDcR0ExBN-aRKgJUA=w600-h450-p-k-no
Jessie Yuo,5,2025-05-19,1 年前,奶蓋特別好喝💋💋,
陳映蓉,5,2025-05-19,1 年前,感覺很厲害,
蔡維洋,5,2025-05-19,1 年前,有創意的店 溫馨的感覺,
陸子黎,5,2025-05-19,1 年前,挑戰草莓奶蓋,
Anna Liu,5,2025-05-19,1 年前,喝奶蓋的最佳選擇😍,
陳彥霖,5,2025-05-19,1 年前,服務親切 奶蓋好喝,
廖軒盈,5,2025-05-19,1 年前,嚐鮮,https://lh3.googleusercontent.com/grass-cs/ANxoTn0ggSh4CpeDwB4OfYg-8DpnT0PowKiNjTyhLrg8QlZKehwy-p7aDSQ268nRWPB6iazxpTZEB2lgBYG7g3mCZZv9fQ98Gl0kBCPQyqAOrvDLTr779cQkDGzNsghhGeZqrbJGeVvs=w600-h450-p-k-no
余姿瑩,5,2025-05-19,1 年前,奶蓋超好喝！,
葉建伸,5,2025-05-19,1 年前,伯爵紅茶很讚,
王寶寶,5,2025-05-19,1 年前,超酷的南瓜派奶蓋😍,
charlie chiu,5,2025-05-19,1 年前,奶蓋好好喝,
監草,5,2025-05-19,1 年前,南瓜奶蓋很香,
方麒任,5,2025-05-19,1 年前,飲料很好喝👍,
JR Z,5,2025-05-19,1 年前,奶蓋好吃！,
林于晴,5,2025-05-19,1 年前,最喜歡奶蓋了,
王魯托,5,2025-05-19,1 年前,好讚！！,
黃子軒,5,2025-05-19,1 年前,讚讚,
吳欣,5,2025-05-19,1 年前,店員nice,
也耶,5,2025-05-19,1 年前,奶蓋很多,
Ling L.,5,2025-05-19,1 年前,好飲品,
Ru Ping,5,2025-05-19,1 年前,讚讚,
Tin,5,2025-05-19,1 年前,讚讚,
荒玉犬,5,2026-05-18,1 天前,店員人很好親切 提醒自取的話直接用QR code 點餐最省,
洛,5,2026-05-14,5 天前,好喝讚珍珠很好吃,
羅棋纓,5,2026-05-12,1 週前,超好喝 加珍珠免費！半夜還喝得到手搖真是太幸福了🥹,
Hsu Phoebe,5,2026-05-05,2 週前,"第一次喝到蜜蘋果洋甘菊茶配上茶凍，喝起來順口且在吃粉飽狀態下喝，還能一口接一口喝下去，
後來朋友有說太妃糖奶茶也好喝，且建議微糖，
在隔天又在吃粉飽狀態下，於是乎又忍不住，
又跑去買了一杯太妃糖鮮奶茶+茶凍常溫微糖，
又是一口接著一口喝完，都忘記喝前要拍照了，
只能補拍喝完照片上傳🤣🤣🤣","https://lh3.googleusercontent.com/grass-cs/ANxoTn0IBo6_iBDQslLhOxi23p1CYz9ZZKP4PFdUKN1NF4rgHbOwzCGA9Om2sW914hVHiYpmLcL-xDwZCaC_bvNX42A4Fa2dzvQ2UtdiOU0OytZQ0OoGcrkWpxXWUygztowlv-jcPYsRJy0DwDue=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3j0VIAaHdWTU6HEJDmuncry17qL29doxmKmcz9KV5i6m_iunxSqXmvFbUyYkOyhrj0k14hn50oB5wt5hKWjHwCitPik7Z56OMjKmQrGusEMskfj7LnsB7DntaOiDKk6VcuCjM3uhWVQ_4N=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn00YttIq_rcsEEdpZ2C4S3q-pU4uv_Ef7VV-HY1Mgd2W-lwgVsX7GEl1GYmywmA8p_AWQbbrZEh9ssTn51iZqpT2OoJ4Lqq1t62PRIXqta97zAcY3-TBfKzxNHeMjpF9ode8nevEob5QUU=w300-h225-p-k-no"
蝶筠,5,2026-04-19,1 個月前,好好喝！而且開到深夜,
劉小弟,5,2026-04-19,1 個月前,店員服務態度超級好！重點是深夜！！！不用怕沒飲料喝了,
Angela Chen,5,2026-04-19,1 個月前,"來喝半夜的茶🍵
茶真的有茶香，不錯喝，半夜推推～
我點的是阿薩姆紅茶奶蓋，奶蓋可以分開
造福喜歡先喝茶再混合的我😍",https://lh3.googleusercontent.com/grass-cs/ANxoTn30EV2wXFhesmE_cFxYRCiiiuXFMM0OxeuY5CabxNPawOCEEBgViKbptkWVpQ9ytV8pdj3Xfr5fW8Ni4bjyqOAEu4whd41HpYu-RH94M0p-enkO2KBAgxV7TrIQw3mMNgG2lC6f8Yvu8w4=w600-h450-p-k-no
程健智,5,2026-04-19,1 個月前,沒想到這麼晚還可以喝到飲料🥤真是太棒了～～～～好喝 推推推！,https://lh3.googleusercontent.com/grass-cs/ANxoTn0xUa-q51uUlgucMnSTrPIMrF83rV5GKM5w_Q2j-f4dy9-nKMQiHehDfqNwwk51BRXyvq-qwzliBTDUDI1oHXfNxArfEdkr5eOXXrbdf4oaCR2bimR20iv24L0Xn5CffjjI9D7aK7iGorF5=w600-h450-p-k-no
許雅棉,5,2026-03-19,2 個月前,茶種選擇很多，也方便停車拿,
Ursula Hsu,5,2026-03-19,2 個月前,路過嚐鮮口感不錯，這次點伯爵鮮奶茶,
Stanley Tung,5,2025-05-19,1 年前,好喝的飲品，口感非常滑順。抹茶和柚子的搭配真是絕妙。而且這裡的氛圍也很棒，是放鬆休閒的好去處。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1h1O7jq1a9katDsjj6045bwWjik8oeHdIUS1Wmu0XMb6Xxff7CrAerUBvSjAKvxQI1XzSrYw4rliT8swTYFnEtD8TDTf5C0reSXYqTv_h_4Ko9NBYK5bWm6cEoCbl5sVhWc4AB=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0z6VG14q7l5SgCWU7AOvdOQOdfjeARelsYOiJ26uhGpa16j6PZSzzW0NQVyEFhcVtjHjNKJj1DCRUbEsILpI26IA4qNFiioIzfgZFH1rcnGpq5M7GimtbPFmD5Gs1pjg5PDYTF2A=w300-h450-p-k-no"
Velver Velver,5,2025-05-19,1 年前,"從香港來台灣玩😎

經過這家有英文菜單的奶茶店！味道真的超贊，而且店面也很可愛，所以一定要寫個評量！

（看看這個毛絨玩具🥰）",https://lh3.googleusercontent.com/grass-cs/ANxoTn0jVgcf1o63ryWg-GLOa_IEoM8iYgFi68ysr1oJNANVTr51qwv_3GS-7LbX-YghAGcs3CrSMeJzb4c1qMgSXXM6-Q2OTYGzvZzyT-6BMVyxO3nlFQ_qoTmZEXpeS1M_qeIU4tk=w600-h450-p-k-no
Esbol Naimen,5,2025-05-19,1 年前,非常好喝的珍珠奶茶🧋店主超級友好，我會再來的😍,https://lh3.googleusercontent.com/grass-cs/ANxoTn3p8wFPqJNjbdzDlRVCKqpCUgH3S9xAU8N_0H_8Z4aXi4GsLw8g7tCFqgQ0EY8k5fJkShzUvW1gKAA34uen-cMWVy5aI5clFmzB0TPnE59cS4wLVxbdN10QaqkYCwZD6I4oJhOg7g=w600-h450-p-k-no
Janine yen FanJiang,5,2025-05-19,1 年前,我們超愛這家的珍珠奶茶！ ！ ！一定要嚐嚐巧克力起司奶蓋！ ！ ！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3c33d5plD_YlNNm51M07rM2Gac2oE67252jmo3DaF0qjkvUM60vJ6uF2jPqvyHjI8Rf963KwE5Mcr7TyekudcxrSehRKEsGDYB8PlRPAnLRMceZkeMv2lzKM-MFAD_6HAqQZMF=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn17U6GXZ985UTJVQZ7Kr-0_Xzi8KBb10enwJAXza_4219KoIapVL1ulAzk_gL60yV29bUPXRnzF0pD9NHgrbIiPVZ4oovwnQacg_XO9pmIRFjUC6y5Hwgzd07Bod6Lcgpg5GeiJYQ=w300-h450-p-k-no"
葉俊辰,5,2025-05-19,1 年前,巧克力伯爵很好吃,https://lh3.googleusercontent.com/grass-cs/ANxoTn2iD1Oqbgboj6Rt3REdvm9001fClQVq7ntLD0qkiGNjwqpIPHcF3AUju0HFZB0EfDC1yX4o3CSbaNei1DBT4LHqmDpNG72iWZmE0xeuc49RDXIjMMJU4vgTpAh289LZa0qV=w600-h450-p-k-no
須文蔚Wen Wei Shiu,5,2025-05-19,1 年前,抹茶柚子茶非常好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn0K-IgG0MCiDrdaD9MyqBzoQTbfrbVyyjPSIVx2Dn4iolfM-HUlxcyR-QREL6BJZSYxLKI_L-7jPRkn8dl7of76FPyQiQH7hIM09xTp08jAgMPMQIn9flxmuc1tUURqLGAmIpMDYw=w600-h450-p-k-no
Zack Franklin,5,2025-05-19,1 年前,超棒的波霸奶茶、有趣的氛圍、快速的服務——還在等什麼，快來吧！,
LawNYCE1,5,2025-05-19,1 年前,氣泡效果好，服務也很快。,https://lh3.googleusercontent.com/grass-cs/ANxoTn3AydGZwDqsLKq47-1NzrCrR-FYXLRhoIG2AhTZDhWgcfp1QU49xP6VXpIq4zhDeUBAAVtKdOPd8mgRwhRJbOxvZrikk4lFZre8p9RSLA-W5p6JgVrhp5eyIlO5uf2ElZ1aqHJfgw=w600-h450-p-k-no
吳月瓏,5,2025-05-19,1 年前,推 抹茶柚子 好喝！,
婕KJ,5,2025-06-19,11 個月前,,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2yahUmqrC6TRp8_AJDrVsYabMOhQw2qDvd1QaVmGgBzHpiOpedHxjhRiqp0ebboRYv14NhSJJHxBg-sCAyk78i3SjKjcgX0uuPIxzHF1SLjHHsBbPWhbehdmCc8lLAPBa4YKaLoQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn345mczlLpAg9nhjdWLJFxZpm937c95YH3yKvO7Ba040PmMRy0SvshP7s73XlDcEOATDeES4pIOMB0DeRD0iADSZu8E5rc_pW7KkTduRzimG1dhO8I7x9HX6J3nxLqul4aPGxx5=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1iQn3gCmW0GTqHmDtEyPNReWfyd3M7ruCmXik4MNeYOddReuKPzn_3Kw8W6fYj6MetB2T5QCk3AHJveYjGYP5qSZiyUzbSAXx-bzrdwNL89b-TgexFw0rR0YXNgMEVdAZKebNx=w300-h225-p-k-no"
李盈,5,2025-05-19,1 年前,南瓜派超好喝,
李宣宥,5,2025-05-19,1 年前,好喝到我都快哭了,
Jeff,5,2025-05-19,1 年前,珍奶好喝,
Albert Wu,1,2025-05-19,1 年前,不太好喝,
佐恩南瓜,5,2025-05-19,1 年前,南瓜派！ ！ ！,https://lh3.googleusercontent.com/grass-cs/ANxoTn1Sr5NjaEpprKdz5bPg-asoG8-Fh1l53jYh6gMBtXHS23g4KOZMGPF2ByX1CfUQbjMKZzbPHMZyhgsLOlU-NCdSUMu_LOUJ_H9S7uH2bRgOhzWISggJlytlI3xPepkZ00-kvGLD=w600-h450-p-k-no
阿人,5,2025-05-19,1 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn2aRMYYEa7_6vCcHoxkzsnWYqt9pKd_7DLafhVfHQExZy0xiGnvB9ULImCii2NLwxFSnP80d7qLRgIid5ec1VCEPLiqjJVYu8tH6iOMXUYRMq72ToZAdKxys4eAQGfHYUU4Xog=w600-h450-p-k-no
Lawa Liu,5,2026-01-19,4 個月前,,
71,5,2025-05-19,1 年前,好的,
梁雨,5,2025-07-19,10 個月前,店家和善,
柯諠,5,2025-05-19,1 年前,第一次喝,
楊娃娃,5,2025-05-19,1 年前,好喝好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn1AO9b04dPfaP9-2k1Hk9cHGhn8XePBCP3z80gIT94SZo4uV1W6lMC1HE5Qc0NgKa8jMFFjfBfWvC0fNmnpSq1obPlQwX9cyPAIcjPThN767FwsTFO13yA7Z39wBwgjkwztpkxq=w600-h450-p-k-no
玉玲,5,2025-05-19,1 年前,伯爵,
雲少,5,2025-07-19,10 個月前,,
侯吉聰,5,2025-07-19,10 個月前,,
陳冠吟,5,2025-07-19,10 個月前,,
Linda Wu,5,2025-05-19,1 年前,,
賴韻文,5,2025-05-19,1 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn0rQUpw1Pap0EIkf4__czVz1xXSWu-dQoZPu3LqRsl2ugPHTL9B5ju7ouoIZofHIBcAoRJjx9aRlTiPD9GgberWBkSctDR9qqUmf9918QP_K0MW9md2zK1KIy2e2fZT-k7cMrhs=w600-h450-p-k-no
蔡季廷,5,2025-05-19,1 年前,,
遊戲帳號,5,2025-05-19,1 年前,,
Aldrik Chu,5,2025-05-19,1 年前,,
李梅玲,5,2025-05-19,1 年前,,
賴妍蓁,5,2025-05-19,1 年前,,
Angel,5,2025-05-19,1 年前,,
吳紹銘,4,2025-05-19,1 年前,,
所以說,5,2025-05-19,1 年前,,
Lin Loren,5,2025-05-19,1 年前,,
蛤?,5,2025-05-19,1 年前,,
三花貓,5,2025-05-19,1 年前,,
黃黃黃,5,2025-05-19,1 年前,,
mark li,5,2025-05-19,1 年前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn3elDX4wJhKspCiuzP3216t-P9_AL46tT6_TR85qreYy08vgDtQhbJzWDBy3hR6pOb1ppIJiUSDleHYVPl5WZAIt7lRCrJkBiEF1q8n5UqFLg1deLK98gki5eN3X_JquZ6JrHVD=w600-h450-p-k-no
馬可可,5,2025-05-19,1 年前,,
五爪,5,2025-05-19,1 年前,,
HSIAO YUAN HUANG,5,2025-05-19,1 年前,,
Karen Deng,5,2025-05-19,1 年前,,
sunny Lee,5,2025-05-19,1 年前,,
李秉恩,5,2025-05-19,1 年前,阿母阿母,
王正德,5,2026-05-14,5 天前,快速,
盧威廷,5,2026-05-05,2 週前,,
楊振菲,5,2026-04-19,1 個月前,,https://lh3.googleusercontent.com/grass-cs/ANxoTn0OcfWPyPcvvbF8P_Xz0TqNpFIzdBOn5wdmPJCFXn3oO_HUJC1bRVezUTqXmgQToNFlmoZPrgmncjx0UijzYlqyLVVxHMZu0i42PBwqSxyL0Wv88ocDzT4FZVN7rcWdqtDpsYzloOih1QLl=w600-h450-p-k-no
Alex Lee,2,2026-03-19,2 個月前,,
林芷妤,5,2026-02-19,3 個月前,,
李家榛,5,2026-02-19,3 個月前,,
Paili Lo,5,2025-10-19,7 個月前,,
趙紹晴,5,2025-10-19,7 個月前,,
彭騰德,5,2025-08-19,9 個月前,,
YIU HSUN CHEN,5,2025-06-19,11 個月前,,
min ni,2,2025-05-19,1 年前,,
Hsinwei Chang,5,2025-05-19,1 年前,,
醬醬,5,2025-05-19,1 年前,,
alex yoyo,5,2025-05-19,1 年前,,
Ian,5,2025-05-19,1 年前,,
Sean Tsai,5,2025-05-19,1 年前,,
高詠欣,5,2025-05-19,1 年前,,
4C Xu,5,2025-05-19,1 年前,,
Sally8442,5,2025-05-19,1 年前,,
燁,5,2025-05-19,1 年前,,
FecceCE,5,2025-05-19,1 年前,,
Ka Ying,5,2025-05-19,1 年前,,
