」』』」」



ㄍUsername,Stars,Time,RawTime,Text,Images
Ant X,3,2025-05-19,1 年前,"果然還是不適合外送，飲料內容物少太多了，僅喝一小口卻只剩八分滿，珍珠吃起來很像放了一整天的，第一口珍珠居然沒有味道⋯
有點過度廣告
茶好喝奶蓋是好喝，種類偏少，很難自己搭配，還是謝謝老闆打造一個獨一無二這樣的店家。",https://lh3.googleusercontent.com/grass-cs/ANxoTn3Jvv1gvlljNg_m5vxnNNiGVvq9CdmLQhgy1AakG4uAoGv9dxOrJfxV9X37bblNuxAExD_5n3Pr0FPVAvcadIcWRH87worRLl0SKuSH0NzRElV2pboxXqLC3JeGxD0OCw1pn-zOeg=w600-h450-p-k-no
尹詠萱,2,2025-05-19,1 年前,"很普通⋯店內質感是抖音派
被Reels騙來的⋯奶蓋很一般
茶更是 這樣一杯65
我會去買得正 或隨便一間連鎖飲料",https://lh3.googleusercontent.com/grass-cs/ANxoTn0eNeXTDx2afKmHFvPIY_PL_nZDcotFO1jhZq6jKURWyfV5He9RdzhOL_rrTiToLf4lj1vdQGZGzTB42OhmGviIjelfjfc-HuzRdh6KU3B0ynPJxIFCid-Jqo2nC6FLFNRrjK1P=w600-h450-p-k-no
Jean L,5,2025-05-19,1 年前,"大推紫薯奶蓋抹茶拿鐵🍵🍠

Owners are super friendly! Highly recommended this new opening beverage shop!! 🧋
Everyone should come check the matcha latte with sweet potato cheese foam!","https://lh3.googleusercontent.com/grass-cs/ANxoTn2spWfZfXJVAioXZNpgqaNTLjDoaFxoJqw-pp130sWHWkJ_vU_LUqZisdCG6PyuEvZCx0uA4qyxszB7hw8galPcj3ZKwtueFrxUTXiR9S9nyjQRahfSq5zJGv6-m0IU1t36BVT-=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2x1HbP9wLD5xU_DPZ_ND439x3hP9XRBI5R-rDbNHaL5TpobYSP7JyMQx7A8Ykk6ALGqMWM6JVN1D9BXCfK4nzid7VzQnUS3h4tdnyLtk4RKZBQV7mdjHOSTLGdqpPGMPwscX2W=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3zL7v8RaFA1kza9n9j7wLUjPNeSSD8vXDpq8In7fsJvo6uMBQgrSaGFyFox8CfIRRwZ5uKiMU3XWvuumnqsvZfEXlEIBRr2H8lgzysAvHi5tRkwdRu7t2zbrm_qeaobVUQYj8k8Q=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1JhDJTUmkpCQBcqz0JQn3AxCm6Ctg3ruOdnXh9aptea00wyKn0iQgavy2R7lCmjwe4A6sllkhKCVl_uMaZY_rg97EY7hIgaBxrd8dPA1jYM-jnBB89NJon0LBGngIDzzN-=w300-h225-p-k-no"
錢劉,5,2025-05-19,1 年前,這家奶茶店不僅飲料好喝，店員也超熱情，還會主動推薦適合的甜度，感覺很貼心！,https://lh3.googleusercontent.com/grass-cs/ANxoTn1hGU-n9VoYMuJnoJORrY0hfRPAYC8kduawTX1xqHsyxvKFTJChcpyrx-8mTFEfIgBI-YNFPYecC5-LrOYLFoyblGJmqxob12ChXZlBpbxErC-qlWOfZavgMAijCPyrJTVMV5v3Fg=w600-h450-p-k-no
Y Lin,5,2025-05-19,1 年前,"Whatever 茶怎麼搭都可以！
1. 芝士奶蓋美式咖啡- 奶蓋超厚搭配咖啡超級順
2. 珍珠太妃糖紅茶- 太妃糖紅茶獨特口感+珍珠 意外很讚
3. 檸檬伯爵紅茶 - 老闆使用真正檸檬原汁 喜歡很酸的建議點微糖/半糖

整體環境舒服 老闆也會仔細幫忙介紹😀",https://lh3.googleusercontent.com/grass-cs/ANxoTn3f7rfNQMIZErW0LLXktu0kzoQCG8NsOjhAI8tZ3HyLBPoAq6HRlZkJV-LJxPxra4Wcx32pqvkcQ9gq4rF8yT7037xyDYjkHzM9tBnFTPz7YI00-c355Z6Bp3T9W4EiGYKoEHj6=w600-h450-p-k-no
謝玥錚,4,2025-07-19,10 個月前,"觀望一陣子新開的飲料店，店員很親切。
剛剛消費一杯太妃糖紅茶半糖少冰似乎做成了正常冰，紅茶有點苦澀感覺搭配太妃糖口感不是很好，招牌奶蓋國寶茶喝起來不錯，就是奶蓋少了一點有點可惜，有機會的話可以嘗試看看其他飲料。",
o Neo,5,2025-05-19,1 年前,"打卡評論送南瓜奶蓋，沒有喝過先喝喝看，事後根據實際狀況調整評價
By10/27（六）",https://lh3.googleusercontent.com/grass-cs/ANxoTn0Otm_unRZvPT6cpjyAvSHIkL6AJxTdE-uJgf-qwftGt3yTEeGXWWSFqzyBwSKc_G1diKKROdK_b0u_OkaY7PmgsQJkh_d4jSexuTeoJN1DgHdqMe5EHrmwQgHCRb6yZ00a1gNr7Q=w600-h450-p-k-no
安宮Rene,5,2025-07-19,10 個月前,"想到把奶蓋分開裝的人一定是天才。
而且味道超級奶超純正超好喝
一口氣兩個人點了四杯都超讚超好喝
不推對不起我的良心。
以後照三餐喝",
李侑心,5,2025-05-19,1 年前,"喝的是帕瑪森起司奶蓋綠茶🫶🏻很好喝！
鹹鹹的奶蓋跟無糖綠茶超搭
下次要來喝不同的口味！",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Y9yA9hrzep0SBUV4ZK8MZ5WFj7xR5EQfutOy3OFXfhTpFyFxtElnzbk0w_o4Wf1-YwL7-AgaD1lVMQjowfJvzuXQKHf23Lgu8VvvEdPJZbhWbM_CmDhWoLG5AoNBkxB6HSQDj=w600-h450-p-k-no
張芷菱,5,2025-08-19,9 個月前,"飲料是很好喝
不過我外送點一杯105時就有出單
這次點買一送一就被取消🥹
（飲料是同一款）
感覺有點不太好欸",
